Model,HUB Perplexity,HUB WER,Parameters
quadgram,507.02410903716003,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.26000000000000006
quadgram,509.4346173048794,0.06636304489264802,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.2700000000000001
quadgram,512.6367909621397,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.2800000000000001
quadgram,516.7351458915722,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.2900000000000001
quadgram,521.868246511322,0.06701366297983084,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.3000000000000001
quadgram,528.2220957913903,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.3100000000000001
quadgram,536.051122659304,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.3200000000000001
quadgram,545.7124293186628,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.3300000000000001
quadgram,557.7245520807584,0.06766428106701367,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.34000000000000014
quadgram,572.8748592572497,0.06441119063109954,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.35000000000000014
quadgram,592.4325086049843,0.05920624593363696,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.36000000000000015
quadgram,618.6193709387937,0.0605074821080026,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.37000000000000016
quadgram,655.8253720357054,0.05985686402081978,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.38000000000000017
quadgram,714.5969959368263,0.06376057254391672,Lambda1: 0.35 Lambda2: 0.24000000000000007 Lambda3: 0.3900000000000002
quadgram,510.0130728952011,0.07026675341574495,Lambda1: 0.35 Lambda2: 0.25000000000000006 Lambda3: 0.2
